ID,Group,Feature_1,Feature_2,Feature_3
ID252,A,2369.908196194357,406.5407717597599,7153.109333756827
ID242,A,2204.297994484771,397.10405721911104,7574.303406743665
ID480,B,2877.394094381318,395.89295586879774,8186.242013048163
ID120,A,2700.5340591450185,378.40470465300564,8721.822154768133
ID150,B,2524.5362788872467,388.0307695819081,7810.924865603073
ID404,C,2675.2622912618913,407.2089110863031,-172.4897660122495
ID663,A,2781.8636391934797,429.15376111237396,9066.429537064649
ID529,A,2171.039814410802,390.0502750376702,6820.764991616558
ID565,B,2269.0841344870705,371.491457456007,7500.071909308741
ID271,C,2741.6036274691955,400.2276605118933,425.6505601354999
ID886,A,2536.66333895863,394.22766759040917,8060.076035207537
ID704,B,2368.506184222445,405.488434268521,6823.307507202943
ID707,B,2405.156651164451,416.4910559177637,7264.694295974396
ID582,A,2901.599017066713,399.69273189796917,9666.31721269023
ID509,B,2626.28130361081,375.57215019228164,7862.703138339255
ID800,A,2233.7861760370733,408.1636643596653,7300.390767139777
ID636,A,2504.7378316706827,377.7767639456585,7934.86821611271
ID867,B,2088.0370430818944,411.1347701114666,6887.093439640538
ID611,B,3192.122888326682,400.1473404609378,8836.52819975092
ID155,C,2259.1399967150123,405.8568771292304,614.7511009621624
ID429,A,2936.067016302028,397.49306181308117,9125.063736869097
ID807,A,2998.6186573487685,413.1521045730285,9246.823865577779
ID493,C,2271.9042870161998,403.1085210233263,697.0676982156897
ID574,A,2276.9983282755247,425.18001881895214,7153.974253680161
ID165,A,2612.640845750509,415.68663657496523,8510.473665481279
ID746,C,2467.7740586125333,381.3202508906679,-39.56004092377351
ID316,A,2263.291062607267,385.1627406376298,7368.960486466125
ID633,A,2184.0569129589494,410.56035896807333,7275.164665151068
ID337,A,2962.2490881730173,416.6804876343997,9179.080269737688
ID305,C,2334.1451327154637,377.89053969302165,795.3136312370232
ID428,C,2400.5303745236783,432.2957131808562,617.0540007843952
ID265,A,2469.1144814942513,396.0666462822713,7402.377202079191
ID854,C,2611.2622745018216,412.3422526442474,409.63717108229457
ID697,B,2641.050311152245,382.223355699045,7676.195562787137
ID660,B,2824.257094313714,401.5170015861492,8168.315891555471
ID785,B,2853.5915692298363,396.8723244409235,8268.505475808885
ID517,A,2582.2313031181016,395.55683822305286,7906.312226134683
ID543,A,2344.5142200116575,401.9863972221442,7826.131928444898
ID683,C,2224.0743392705554,426.8714761926462,895.05164855143
ID891,C,1937.8691928564003,412.02225350300756,1199.1808724089885
ID436,C,2087.3336079726973,395.63044575622894,897.0271248606259
ID215,B,2538.969164851803,394.02198184375374,7925.707198888062
ID632,B,2347.981906730755,431.6013960918874,7530.9764054382795
ID569,C,2617.173800868179,402.6043757270238,91.99420532777468
ID203,A,2309.1103341233625,416.4637215564817,7791.396082896809
ID772,C,2318.6744246323206,377.72949111815024,401.20780386373167
ID856,A,2107.3785574672097,412.94915753295106,6480.250238948522
ID521,B,2375.501414201118,404.3745110066401,8055.09069184328
ID796,B,2319.9850904414507,392.63413549081235,7104.153090238939
ID222,A,1765.809110190106,414.6997056979038,5805.919998927733
ID767,B,2830.7259484557403,400.2031805067847,8483.072521099444
ID467,C,2329.628863004526,408.28757755925324,837.3187168875646
ID576,B,2723.3732561623037,388.1895216523929,7865.269930408178
ID204,A,2897.755624850816,409.6273918288662,9445.98966685795
ID105,A,2645.3521127537447,391.4049603231311,9078.741527069906
ID556,B,2865.4345251419354,375.4803879558555,8406.651574684205
ID444,A,2561.0871117255388,385.8477644592674,8210.116162336559
ID605,B,2062.8716037540075,395.77198787655135,6938.186962446789
ID140,A,2702.529883317179,420.8236229926208,8195.528450496227
ID729,B,2472.868792941986,397.36224422696677,7197.841552302534
ID610,B,2043.024362180314,376.7810942013522,6483.996460886515
ID878,A,3225.1949812423645,417.4245486291439,9580.931549050014
ID892,B,2222.736960370035,381.56530878106753,6971.158550929567
ID116,C,2315.110023472065,378.4284258756265,690.741743966196
ID233,A,2466.319530181639,424.30963268820614,7776.154850555697
ID527,A,2714.401017977218,409.21280305798047,9164.283691114912
ID220,C,2109.6312171865084,386.3585976247052,839.8373443001506
ID671,A,2213.5879640039147,376.44180679492774,7235.157273266958
ID321,A,2504.345518258796,397.7180340961951,7824.579067893191
ID255,C,1881.6813249068084,395.86843445971596,1290.1592650885127
ID872,C,2198.115467317838,372.81760273302194,288.8318053888163
ID142,C,2169.5438376494712,405.25574905178627,322.73032831338537
ID572,A,2011.42856568253,415.09852333982184,6475.700466751958
ID559,C,2562.2703311426753,391.5327801411657,527.7615581917239
ID279,C,2738.8367003334506,389.9906964190798,335.79574506265664
ID207,C,2032.5998465606922,394.1010567282736,976.5702594742472
ID434,B,2290.1555420215614,392.82342442451386,7644.42704649243
ID239,A,2450.6853659634244,376.97516288134324,8175.063112553258
ID860,A,2074.305676212845,403.7136540510208,5946.2967696705555
ID216,B,2658.0753858084668,386.79525709384956,8170.200480901627
ID328,C,2895.807681024219,394.4105468074999,455.0156352422442
ID166,A,2516.0897551881058,395.3421891132157,8628.480240786892
ID284,B,2573.9509530805453,380.3089230819804,7745.163331425483
ID591,C,2571.8832063509794,411.41265586125644,98.1439379943507
ID720,A,2768.6027219803077,384.99351813383964,8700.64940546235
ID160,A,3033.790724891891,384.210418365178,9687.777031037926
ID890,B,2227.0632449686964,390.25278869755215,6950.224428333025
ID880,A,2612.9070533200193,430.2561694236268,7834.490440961473
ID823,B,2504.576757505693,424.78043903072376,7358.212636299038
ID724,C,2248.31018771044,383.4915383089016,1009.8965484297869
ID851,A,2735.893627252065,391.84898853449795,8747.473280016136
ID365,B,2642.2479047976135,415.02065709132125,8289.477794230952
ID783,B,3025.4860413111473,408.8848497211764,8588.890657860638
ID898,C,2622.5564806997713,394.0438818838297,-234.31242023092608
ID376,C,2034.3456673430956,390.3110267890236,877.1396683636783
ID112,A,2870.931711396936,418.4746166235441,9071.505765065438
ID139,A,2655.934999217869,398.78895568430283,8497.331993287318
ID579,C,2332.5894999324887,388.10346601835136,445.98245672568044
ID103,C,2392.9860530547085,391.67655419494224,582.8924494047865
ID389,A,2879.892610194139,378.0692078414603,9361.724564240227
ID542,B,2145.3955006336428,448.0474365761292,6524.710740541999
ID744,B,2452.4210873942498,417.7935482181992,7329.527415361293
ID715,A,2948.3314757971457,420.61307057999807,8877.34763013705
ID264,B,2720.4160346678636,420.620863823557,8180.598113394499
ID557,B,2403.197300822,427.14915776993587,6964.760365398106
ID643,C,2311.588523682082,405.6545230951819,1128.4013410086939
ID267,B,2528.1730255949255,392.82849604171196,7450.602089892447
ID212,C,2395.287972891292,406.2516390309068,512.9799604662455
ID727,B,2866.0084984184273,381.32021830341,8664.562151688013
ID589,C,2494.3377167299745,398.4095842051085,618.2943709273055
ID620,B,3009.5144270779415,388.17122346358383,8051.807227743969
ID835,C,2266.120139875906,403.3995428155414,804.7911971142506
ID438,B,2474.382363324117,403.96722987322556,7662.3805204021255
ID801,C,2372.169350812062,399.11619589694055,-2.687498666971859
ID495,A,2731.7551251747304,394.20193833155724,8485.620022360088
ID852,A,2473.3426551983325,414.8089386003286,7740.33563884257
ID426,B,2070.635430385225,417.9483525999914,6858.278838751733
ID194,B,2359.3344851521183,400.61463566613054,7197.592804317944
ID730,B,2653.6777258644474,391.67556128861025,7190.886223878207
ID144,B,2611.8945232524843,426.1708589109477,7414.394374001608
ID481,C,2861.9021397001266,384.6665083832212,-138.64169327012038
ID769,A,2420.868695602941,409.94110610445273,7275.53019968766
ID461,B,2321.7300240280288,417.39959595239225,7611.731807327202
ID132,C,2242.318463388778,362.48028781988353,431.873494168687
ID586,C,1732.351213610626,381.6397820789014,1164.0188817812225
ID409,B,2833.1343865547847,367.69884315338766,8371.315834273495
ID229,A,2681.668927372957,392.322974113086,8513.456273559088
ID725,A,2882.198807948828,388.9821247973082,9104.833434117294
ID113,C,2705.9839972782675,402.8511245566208,70.76800887820814
ID758,C,2457.7614170826705,389.05056896065156,616.4709319783807
ID792,B,2623.256642259189,393.50337638572546,7757.933321714306
ID520,A,1873.9873148781646,395.39637684211357,6174.240809045057
ID607,A,2355.106912267945,405.55611331943584,7765.527613385477
ID500,A,1810.7788672207496,385.7333261925503,5404.6211437769225
